hyperparameters,iteration,accs,object_loss,run_time
"{'hid_epoches': 7.0, 'hidden_layers': 4.0, 'learning_rate': 0.00017718723436847863, 'loss_function': 1, 'mapfunction_1': 3.0, 'mapfunction_10': 0, 'mapfunction_11': 6.0, 'mapfunction_12': 0, 'mapfunction_2': 4.0, 'mapfunction_3': 0, 'mapfunction_4': 9.0, 'mapfunction_5': 0, 'mapfunction_6': 5.0, 'mapfunction_7': 0, 'mapfunction_8': 6.0, 'mapfunction_9': 0}",2,0.9597343209098868,0.04026567909011325,0.0003459453582763672
"{'hid_epoches': 6.0, 'hidden_layers': 5.0, 'learning_rate': 0.00011681140009464564, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 5.0, 'mapfunction_11': 0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 10.0, 'mapfunction_6': 10.0, 'mapfunction_7': 5.0, 'mapfunction_8': 0, 'mapfunction_9': 3.0}",5,0.9669015204896193,0.033098479510380696,0.00014019012451171875
"{'hid_epoches': 4.0, 'hidden_layers': 5.0, 'learning_rate': 0.0006987540151871413, 'loss_function': 1, 'mapfunction_1': 7.0, 'mapfunction_10': 2.0, 'mapfunction_11': 0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 9.0, 'mapfunction_5': 0, 'mapfunction_6': 9.0, 'mapfunction_7': 0, 'mapfunction_8': 7.0, 'mapfunction_9': 0}",6,0.9561852598442924,0.04381474015570763,9.942054748535156e-05
"{'hid_epoches': 7.0, 'hidden_layers': 6.0, 'learning_rate': 0.00027886576187475555, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 11.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 4.0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 6.0, 'mapfunction_7': 4.0, 'mapfunction_8': 11.0, 'mapfunction_9': 0}",8,0.9609257681237077,0.03907423187629233,9.775161743164062e-05
"{'hid_epoches': 5.0, 'hidden_layers': 5.0, 'learning_rate': 0.00060850842960111, 'loss_function': 2, 'mapfunction_1': 4.0, 'mapfunction_10': 0, 'mapfunction_11': 0, 'mapfunction_12': 6.0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 7.0, 'mapfunction_5': 9.0, 'mapfunction_6': 0, 'mapfunction_7': 5.0, 'mapfunction_8': 11.0, 'mapfunction_9': 0}",11,0.959336421778146,0.04066357822185396,0.00010251998901367188
"{'hid_epoches': 3.0, 'hidden_layers': 6.0, 'learning_rate': 0.00014421421215697164, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 6.0, 'mapfunction_11': 2.0, 'mapfunction_12': 0, 'mapfunction_2': 4.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 10.0, 'mapfunction_6': 0, 'mapfunction_7': 8.0, 'mapfunction_8': 0, 'mapfunction_9': 5.0}",15,0.9668194176744954,0.03318058232550458,9.751319885253906e-05
"{'hid_epoches': 8.0, 'hidden_layers': 4.0, 'learning_rate': 9.985865297431995e-05, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 5.0, 'mapfunction_11': 1.0, 'mapfunction_12': 0, 'mapfunction_2': 1.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 12.0, 'mapfunction_6': 2.0, 'mapfunction_7': 9.0, 'mapfunction_8': 0, 'mapfunction_9': 3.0}",21,0.9668618914698914,0.03313810853010857,0.00010204315185546875
"{'hid_epoches': 8.0, 'hidden_layers': 4.0, 'learning_rate': 5.247570259185192e-05, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 4.0, 'mapfunction_11': 0, 'mapfunction_12': 0, 'mapfunction_2': 1.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 12.0, 'mapfunction_6': 8.0, 'mapfunction_7': 10.0, 'mapfunction_8': 0, 'mapfunction_9': 1.0}",23,0.9677289844437685,0.032271015556231464,0.00010228157043457031
"{'hid_epoches': 6.0, 'hidden_layers': 4.0, 'learning_rate': 8.195092788694507e-05, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 4.0, 'mapfunction_11': 0, 'mapfunction_12': 0, 'mapfunction_2': 2.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 11.0, 'mapfunction_6': 8.0, 'mapfunction_7': 12.0, 'mapfunction_8': 0, 'mapfunction_9': 5.0}",27,0.9689431997333025,0.03105680026669755,0.00014519691467285156
"{'hid_epoches': 7.0, 'hidden_layers': 4.0, 'learning_rate': 7.932205514321344e-05, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 3.0, 'mapfunction_11': 0, 'mapfunction_12': 0, 'mapfunction_2': 1.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 11.0, 'mapfunction_6': 8.0, 'mapfunction_7': 12.0, 'mapfunction_8': 0, 'mapfunction_9': 5.0}",28,0.9687322037162964,0.031267796283703575,0.00011301040649414062
