hyperparameters,iteration,accs,object_loss,run_time
"{'hid_epoches': 5.0, 'hidden_layers': 5.0, 'learning_rate': 0.0001454647751272215, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 9.0, 'mapfunction_12': 4.0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 4.0, 'mapfunction_6': 4.0, 'mapfunction_7': 12.0, 'mapfunction_8': 10.0, 'mapfunction_9': 12.0}",26,0.9688744384601,0.031125561539899982,9.822845458984375e-05
"{'hid_epoches': 5.0, 'hidden_layers': 5.0, 'learning_rate': 0.0002938179964216449, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 8.0, 'mapfunction_12': 8.0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 4.0, 'mapfunction_6': 5.0, 'mapfunction_7': 11.0, 'mapfunction_8': 12.0, 'mapfunction_9': 11.0}",28,0.9694830228726342,0.030516977127365785,0.00012826919555664062
"{'hid_epoches': 4.0, 'hidden_layers': 5.0, 'learning_rate': 9.756597677592831e-05, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 12.0, 'mapfunction_12': 12.0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 3.0, 'mapfunction_6': 3.0, 'mapfunction_7': 10.0, 'mapfunction_8': 9.0, 'mapfunction_9': 11.0}",29,0.9723564855102821,0.027643514489717913,9.894371032714844e-05
"{'hid_epoches': 4.0, 'hidden_layers': 4.0, 'learning_rate': 9.640537410643654e-05, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 11.0, 'mapfunction_12': 12.0, 'mapfunction_2': 12.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 2.0, 'mapfunction_6': 2.0, 'mapfunction_7': 10.0, 'mapfunction_8': 0, 'mapfunction_9': 10.0}",30,0.9785031569947754,0.021496843005224586,9.989738464355469e-05
"{'hid_epoches': 4.0, 'hidden_layers': 4.0, 'learning_rate': 0.00010733573616026163, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 12.0, 'mapfunction_12': 12.0, 'mapfunction_2': 11.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 2.0, 'mapfunction_6': 1.0, 'mapfunction_7': 10.0, 'mapfunction_8': 0, 'mapfunction_9': 10.0}",31,0.9781966272439168,0.02180337275608324,9.751319885253906e-05
"{'hid_epoches': 3.0, 'hidden_layers': 4.0, 'learning_rate': 9.286765149991602e-05, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 12.0, 'mapfunction_12': 11.0, 'mapfunction_2': 12.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 2.0, 'mapfunction_6': 1.0, 'mapfunction_7': 4.0, 'mapfunction_8': 0, 'mapfunction_9': 8.0}",32,0.9766075610303434,0.023392438969656593,9.822845458984375e-05
"{'hid_epoches': 4.0, 'hidden_layers': 4.0, 'learning_rate': 5.1185058782086083e-05, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 11.0, 'mapfunction_12': 11.0, 'mapfunction_2': 12.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 2.0, 'mapfunction_6': 2.0, 'mapfunction_7': 10.0, 'mapfunction_8': 0, 'mapfunction_9': 10.0}",33,0.9780795581973325,0.0219204418026675,9.751319885253906e-05
"{'hid_epoches': 3.0, 'hidden_layers': 4.0, 'learning_rate': 0.0001174128159890371, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 10.0, 'mapfunction_12': 10.0, 'mapfunction_2': 10.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 8.0, 'mapfunction_6': 1.0, 'mapfunction_7': 9.0, 'mapfunction_8': 0, 'mapfunction_9': 10.0}",34,0.9774328766414332,0.02256712335856681,9.608268737792969e-05
"{'hid_epoches': 4.0, 'hidden_layers': 4.0, 'learning_rate': 0.0003541519508595416, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 11.0, 'mapfunction_12': 12.0, 'mapfunction_2': 10.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 5.0, 'mapfunction_6': 8.0, 'mapfunction_7': 7.0, 'mapfunction_8': 0, 'mapfunction_9': 8.0}",35,0.9790427340105015,0.02095726598949854,9.584426879882812e-05
"{'hid_epoches': 4.0, 'hidden_layers': 4.0, 'learning_rate': 0.00039443504690794313, 'loss_function': 2, 'mapfunction_1': 0, 'mapfunction_10': 0, 'mapfunction_11': 10.0, 'mapfunction_12': 2.0, 'mapfunction_2': 8.0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 5.0, 'mapfunction_6': 9.0, 'mapfunction_7': 4.0, 'mapfunction_8': 0, 'mapfunction_9': 7.0}",36,0.9733027981147414,0.026697201885258592,9.655952453613281e-05
