learning_rate,hid_epoches,loss_function,hidden_layers,mapfunction_1,mapfunction_2,mapfunction_3,mapfunction_4,mapfunction_5,mapfunction_6,mapfunction_7,mapfunction_8,mapfunction_9,mapfunction_10,mapfunction_11,mapfunction_12,Accuracy,F1,Precision,Recall
0.0004220116877266859,8.0,1,6,0,0,0,0,0,2,0,0,0,0,12,4,0.6200585651537335,0.4327868852459016,0.6631016042780749,0.33361415332771693
0.000524192316155995,9.0,2,6,0,0,0,2,3,0,3,0,0,0,0,7,0.6394582723279648,0.47628865979381446,0.6769911504424779,0.3892165122156698
6.309914830260147e-05,9.0,2,6,2,7,0,0,0,0,0,5,0,6,10,5,0.6281112737920937,0.4798792756539236,0.656441717791411,0.4018534119629318
0.00019504772217046715,4.0,1,6,0,0,12,0,0,0,0,0,0,0,0,0,0.6174963396778916,0.4569055036344756,0.6543478260869565,0.37068239258635216
0.0006302621129106349,6.0,2,6,0,0,0,0,0,3,0,2,4,12,0,0,0.6299414348462665,0.49525711432850716,0.6222222222222222,0.41786015164279694
0.0004972065380193597,12.0,2,6,0,0,0,1,7,0,5,8,0,7,7,11,0.6339677891654466,0.49534997552618687,0.6388059701492538,0.42628475147430495
0.0004745680630275179,12.0,2,6,0,0,0,0,7,0,0,6,0,0,3,11,0.6390922401171303,0.5058027079303675,0.6454413892908828,0.44060657118786856
0.00010296843026455206,11.0,1,6,0,6,9,0,0,0,4,5,0,0,0,3,0.6211566617862372,0.44023796646836133,0.7311320754716981,0.34288121314237574
0.000305078419146023,11.0,1,6,0,0,0,1,0,0,0,0,11,1,10,0,0.6061493411420205,0.33250620347394544,0.8,0.22577927548441448
9.539867948867764e-05,13.0,1,6,0,0,0,0,2,0,9,0,5,0,0,1,0.6167642752562226,0.3880771478667446,0.6833333333333333,0.2796967144060657
0.00039382846834922213,5.0,2,6,0,0,0,0,3,7,0,0,0,0,3,0,0.6273792093704246,0.4608050847457627,0.6218354430379747,0.36647009267059816
0.00012075239182203231,10.0,2,6,6,0,0,7,0,8,0,0,0,4,12,0,0.6361639824304539,0.508893280632411,0.6437908496732027,0.43386689132266215
5.807894420552822e-05,4.0,2,6,0,0,0,0,0,6,4,4,0,0,4,0,0.6050512445095169,0.34167175106772424,0.6282051282051282,0.2358887952822241
0.0002196344355000454,8.0,2,6,0,0,0,11,0,0,0,0,9,0,0,0,0.6303074670571011,0.5272895467160037,0.6109660574412533,0.4802021903959562
0.0009656457275830545,8.0,2,6,6,0,0,0,0,8,0,3,10,0,0,0,0.6412884333821376,0.5022784810126582,0.6701754385964912,0.41786015164279694
6.731372356542285e-05,9.0,1,6,0,0,0,5,0,0,0,0,9,3,0,0,0.609809663250366,0.5127978817299206,0.6356164383561644,0.489469250210615
0.00021520660647226963,9.0,2,6,9,0,0,0,0,0,6,9,10,3,0,10,0.6222547584187409,0.5214582371942778,0.6216640502354788,0.4759898904802022
0.0006002074275468798,8.0,2,6,0,0,0,0,0,8,5,0,0,0,0,7,0.6346998535871157,0.49391480730223125,0.642495784148398,0.4102780117944398
9.214506311313238e-05,7.0,2,6,0,0,0,5,0,0,0,10,0,0,11,0,0.623718887262079,0.4078341013824885,0.743801652892562,0.2982308340353833
0.0007562687699652013,11.0,1,6,0,0,6,0,0,0,0,5,0,3,0,4,0.62701317715959,0.477703741670938,0.6717724288840262,0.392586352148273
