hyperparameters,iteration,accs,object_loss,run_time
"{'hid_epoches': 25000.0, 'hidden_layers': 4.0, 'learning_rate': 0.00033962190240183665, 'loss_function': 1, 'mapfunction_1': 5.0, 'mapfunction_10': 0, 'mapfunction_11': 12.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 12.0, 'mapfunction_9': 4.0}",23,18.60272443852095,-17.60272443852095,0.00010561943054199219
"{'hid_epoches': 25000.0, 'hidden_layers': 4.0, 'learning_rate': 0.00031846022813128416, 'loss_function': 1, 'mapfunction_1': 4.0, 'mapfunction_10': 0, 'mapfunction_11': 12.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 11.0, 'mapfunction_9': 2.0}",24,18.602645623195798,-17.602645623195798,0.00011372566223144531
"{'hid_epoches': 25000.0, 'hidden_layers': 4.0, 'learning_rate': 0.0005253183169218946, 'loss_function': 1, 'mapfunction_1': 4.0, 'mapfunction_10': 0, 'mapfunction_11': 12.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 12.0, 'mapfunction_9': 5.0}",25,18.602745272372914,-17.602745272372914,0.00010132789611816406
"{'hid_epoches': 25000.0, 'hidden_layers': 4.0, 'learning_rate': 0.0005344816136794144, 'loss_function': 1, 'mapfunction_1': 3.0, 'mapfunction_10': 0, 'mapfunction_11': 12.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 2.0, 'mapfunction_9': 6.0}",26,18.602468766809526,-17.602468766809526,0.0001010894775390625
"{'hid_epoches': 25000.0, 'hidden_layers': 4.0, 'learning_rate': 0.0004943398674681283, 'loss_function': 1, 'mapfunction_1': 12.0, 'mapfunction_10': 0, 'mapfunction_11': 10.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 10.0, 'mapfunction_9': 5.0}",27,18.602642219174072,-17.602642219174072,9.059906005859375e-05
"{'hid_epoches': 25000.0, 'hidden_layers': 4.0, 'learning_rate': 0.0009652287195687607, 'loss_function': 1, 'mapfunction_1': 4.0, 'mapfunction_10': 0, 'mapfunction_11': 12.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 10.0, 'mapfunction_9': 3.0}",28,18.6026391943317,-17.6026391943317,9.894371032714844e-05
"{'hid_epoches': 20000.0, 'hidden_layers': 1.0, 'learning_rate': 0.000730564968691248, 'loss_function': 1, 'mapfunction_1': 6.0, 'mapfunction_10': 0, 'mapfunction_11': 7.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 11.0, 'mapfunction_9': 5.0}",29,18.087156283531108,-17.087156283531108,0.00010228157043457031
"{'hid_epoches': 25000.0, 'hidden_layers': 3.0, 'learning_rate': 0.0005195817934006979, 'loss_function': 1, 'mapfunction_1': 3.0, 'mapfunction_10': 0, 'mapfunction_11': 10.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 8.0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 6.0, 'mapfunction_9': 2.0}",30,18.60256014581521,-17.60256014581521,0.00010251998901367188
"{'hid_epoches': 25000.0, 'hidden_layers': 5.0, 'learning_rate': 0.0006494054832764488, 'loss_function': 1, 'mapfunction_1': 1.0, 'mapfunction_10': 0, 'mapfunction_11': 1.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 8.0, 'mapfunction_9': 8.0}",31,18.602340339651523,-17.602340339651523,0.00010275840759277344
"{'hid_epoches': 20000.0, 'hidden_layers': 6.0, 'learning_rate': 0.00026157817498490005, 'loss_function': 1, 'mapfunction_1': 6.0, 'mapfunction_10': 0, 'mapfunction_11': 8.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 11.0, 'mapfunction_9': 0}",32,18.087071209121433,-17.087071209121433,0.0001010894775390625
"{'hid_epoches': 25000.0, 'hidden_layers': 2.0, 'learning_rate': 0.0004292167493506529, 'loss_function': 1, 'mapfunction_1': 4.0, 'mapfunction_10': 0, 'mapfunction_11': 5.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 1.0, 'mapfunction_9': 3.0}",33,18.602149936548084,-17.602149936548084,0.00010204315185546875
"{'hid_epoches': 20000.0, 'hidden_layers': 5.0, 'learning_rate': 0.00026546194213142424, 'loss_function': 1, 'mapfunction_1': 1.0, 'mapfunction_10': 0, 'mapfunction_11': 10.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 6.0, 'mapfunction_9': 1.0}",34,18.086996888803128,-17.086996888803128,0.00010013580322265625
"{'hid_epoches': 25000.0, 'hidden_layers': 5.0, 'learning_rate': 0.0009693818695433864, 'loss_function': 1, 'mapfunction_1': 6.0, 'mapfunction_10': 0, 'mapfunction_11': 3.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 9.0, 'mapfunction_9': 6.0}",36,18.60239917469342,-17.60239917469342,0.00010132789611816406
"{'hid_epoches': 20000.0, 'hidden_layers': 6.0, 'learning_rate': 0.0002637965445917525, 'loss_function': 1, 'mapfunction_1': 2.0, 'mapfunction_10': 0, 'mapfunction_11': 12.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 12.0, 'mapfunction_9': 0}",38,18.087217768410607,-17.087217768410607,0.00010132789611816406
"{'hid_epoches': 25000.0, 'hidden_layers': 2.0, 'learning_rate': 0.0007540791755294938, 'loss_function': 2, 'mapfunction_1': 5.0, 'mapfunction_10': 0, 'mapfunction_11': 0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 9.0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 9.0, 'mapfunction_9': 6.0}",39,18.60247353591999,-17.60247353591999,8.916854858398438e-05
"{'hid_epoches': 20000.0, 'hidden_layers': 4.0, 'learning_rate': 0.00011049530133652281, 'loss_function': 1, 'mapfunction_1': 8.0, 'mapfunction_10': 8.0, 'mapfunction_11': 7.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 5.0, 'mapfunction_9': 4.0}",40,18.086938979873633,-17.086938979873633,0.00011348724365234375
"{'hid_epoches': 25000.0, 'hidden_layers': 5.0, 'learning_rate': 0.00045877812395774437, 'loss_function': 2, 'mapfunction_1': 4.0, 'mapfunction_10': 0, 'mapfunction_11': 6.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 9.0, 'mapfunction_4': 0, 'mapfunction_5': 11.0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 9.0, 'mapfunction_9': 0}",41,18.602550849891646,-17.602550849891646,0.00021123886108398438
"{'hid_epoches': 10000.0, 'hidden_layers': 2.0, 'learning_rate': 0.0006146961225808826, 'loss_function': 2, 'mapfunction_1': 7.0, 'mapfunction_10': 0, 'mapfunction_11': 10.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 7.0, 'mapfunction_9': 0}",46,17.056205280717272,-16.056205280717272,0.0002052783966064453
"{'hid_epoches': 15000.0, 'hidden_layers': 5.0, 'learning_rate': 0.00015757790931946705, 'loss_function': 2, 'mapfunction_1': 2.0, 'mapfunction_10': 0, 'mapfunction_11': 6.0, 'mapfunction_12': 0, 'mapfunction_2': 0, 'mapfunction_3': 0, 'mapfunction_4': 0, 'mapfunction_5': 7.0, 'mapfunction_6': 6.0, 'mapfunction_7': 12.0, 'mapfunction_8': 0, 'mapfunction_9': 0}",49,17.57106213088408,-16.57106213088408,0.0001900196075439453
"{'hid_epoches': 20000.0, 'hidden_layers': 4.0, 'learning_rate': 0.0002928216728590997, 'loss_function': 1, 'mapfunction_1': 0, 'mapfunction_10': 6.0, 'mapfunction_11': 0, 'mapfunction_12': 8.0, 'mapfunction_2': 3.0, 'mapfunction_3': 0, 'mapfunction_4': 9.0, 'mapfunction_5': 0, 'mapfunction_6': 0, 'mapfunction_7': 0, 'mapfunction_8': 8.0, 'mapfunction_9': 1.0}",50,18.087012773626707,-17.087012773626707,0.00012874603271484375
